,precision,recall,f1-score,support
0,0.3793103448275862,0.034055727554179564,0.06249999999999999,323.0
1,0.2857142857142857,0.05673758865248227,0.09467455621301775,141.0
2,0.4,0.037383177570093455,0.06837606837606837,321.0
3,0.9,0.6206896551724138,0.7346938775510204,58.0
4,0.6918644650842793,0.91244187365317,0.7869894839814134,8817.0
5,0.44333333333333336,0.4389438943894389,0.44112769485903813,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,157.0
8,0.16666666666666666,0.006060606060606061,0.011695906432748537,165.0
9,0.24390243902439024,0.023752969121140142,0.04329004329004329,421.0
10,0.0,0.0,0.0,73.0
11,0.17568021498152503,0.2677931387608807,0.2121703853955375,1953.0
12,0.16666666666666666,0.012658227848101266,0.02352941176470588,79.0
13,0.0,0.0,0.0,114.0
14,0.0,0.0,0.0,169.0
15,0.75,0.019867549668874173,0.03870967741935484,151.0
16,0.3333333333333333,0.0035842293906810036,0.007092198581560284,279.0
17,0.2896551724137931,0.0362381363244176,0.06441717791411043,1159.0
18,0.6902887139107612,0.8756936736958935,0.7720156555772995,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.3333333333333333,0.015151515151515152,0.028985507246376812,66.0
22,0.0,0.0,0.0,160.0
23,0.4067796610169492,0.06936416184971098,0.11851851851851851,346.0
24,0.0,0.0,0.0,163.0
25,0.0,0.0,0.0,154.0
26,0.0,0.0,0.0,41.0
27,0.0,0.0,0.0,312.0
28,0.0,0.0,0.0,171.0
29,0.9946887966804979,0.995548024851324,0.9951182252922423,30099.0
30,1.0,0.03787878787878788,0.07299270072992702,132.0
31,0.0,0.0,0.0,83.0
32,0.3474576271186441,0.5415094339622641,0.4233038348082596,1590.0
33,0.0,0.0,0.0,148.0
34,0.0,0.0,0.0,82.0
35,0.2222222222222222,0.012320328542094456,0.023346303501945526,487.0
36,0.475,0.03877551020408163,0.07169811320754717,490.0
37,0.125,0.02040816326530612,0.03508771929824561,49.0
38,0.9698501335334496,0.994252743523023,0.9818998458135014,44195.0
accuracy,0.8914864907270844,0.8914864907270844,0.8914864907270844,0.8914864907270844
macro avg,0.27668583102209526,0.15566946454078154,0.15672392066083288,95601.0
weighted avg,0.8665827863705672,0.8914864907270844,0.8703009427555012,95601.0
Total_training_time(s),1233.006122675608,,,
Input_size,26,,,
