,precision,recall,f1-score,support
0,0.5921052631578947,0.16423357664233576,0.2571428571428572,274.0
1,0.7142857142857143,0.04310344827586207,0.0813008130081301,116.0
2,0.30952380952380953,0.16049382716049382,0.21138211382113822,243.0
3,0.9487179487179487,0.6981132075471698,0.8043478260869565,53.0
4,0.22147855187100698,0.5325530358449159,0.3128491620111732,1367.0
5,0.0,0.0,0.0,292.0
6,0.0,0.0,0.0,132.0
7,0.0,0.0,0.0,96.0
8,0.0,0.0,0.0,129.0
9,0.3333333333333333,0.0029069767441860465,0.005763688760806917,344.0
10,0.06666666666666667,0.015151515151515152,0.024691358024691357,66.0
11,0.26851851851851855,0.3311298076923077,0.2965554359526373,1664.0
12,0.3333333333333333,0.013888888888888888,0.026666666666666665,72.0
13,0.0,0.0,0.0,124.0
14,0.0,0.0,0.0,156.0
15,0.36363636363636365,0.02702702702702703,0.050314465408805034,148.0
16,0.0,0.0,0.0,222.0
17,0.2702702702702703,0.08771929824561403,0.1324503311258278,912.0
18,0.7233518176216882,0.9030769230769231,0.803284296955183,1300.0
19,0.0,0.0,0.0,24.0
20,0.0,0.0,0.0,145.0
21,0.0,0.0,0.0,50.0
22,0.0,0.0,0.0,131.0
23,0.39473684210526316,0.10752688172043011,0.16901408450704225,279.0
24,0.0,0.0,0.0,140.0
25,0.6666666666666666,0.041379310344827586,0.07792207792207793,145.0
26,0.3333333333333333,0.03225806451612903,0.0588235294117647,31.0
27,0.38095238095238093,0.056140350877192984,0.09785932721712538,285.0
28,0.0,0.0,0.0,121.0
29,0.2727272727272727,0.027777777777777776,0.050420168067226885,108.0
30,0.0,0.0,0.0,121.0
31,0.0,0.0,0.0,73.0
32,0.2700176812326345,0.7169684775318578,0.3922935779816514,1491.0
33,0.0,0.0,0.0,119.0
34,0.14285714285714285,0.029411764705882353,0.04878048780487805,68.0
35,0.45454545454545453,0.10514018691588785,0.17077798861480076,428.0
36,0.05128205128205128,0.004464285714285714,0.008213552361396304,448.0
37,0.0,0.0,0.0,38.0
38,0.9846302250803859,0.9919663103336572,0.9882846538647733,15435.0
accuracy,0.6991967871485943,0.6991967871485943,0.6991967871485943,0.6991967871485943
macro avg,0.23325565747997778,0.1305751523778248,0.12997790930045153,27390.0
weighted avg,0.6822435397627531,0.6991967871485943,0.6676102983059254,27390.0
Total_training_time(s),214.5157481354545,,,
Input_size,27,,,
