,precision,recall,f1-score,support
0,0.15348101265822786,0.2993827160493827,0.20292887029288703,324.0
1,0.3,0.06382978723404255,0.10526315789473684,141.0
2,0.24528301886792453,0.08099688473520249,0.1217798594847775,321.0
3,0.74,0.6379310344827587,0.6851851851851852,58.0
4,0.6599232368463138,0.9361388384754991,0.7741300065659883,8816.0
5,0.5607843137254902,0.47194719471947194,0.5125448028673836,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,158.0
8,0.0,0.0,0.0,165.0
9,0.0,0.0,0.0,421.0
10,0.0,0.0,0.0,73.0
11,0.21395181589356346,0.30497180932854945,0.2514792899408284,1951.0
12,0.2857142857142857,0.02531645569620253,0.046511627906976744,79.0
13,0.0,0.0,0.0,114.0
14,0.0,0.0,0.0,169.0
15,0.6666666666666666,0.013245033112582781,0.025974025974025976,151.0
16,0.4,0.007168458781362007,0.01408450704225352,279.0
17,0.17120622568093385,0.037996545768566495,0.06219081272084806,1158.0
18,0.7032442748091603,0.8179800221975583,0.7562852744997436,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.0,0.0,0.0,66.0
22,0.0,0.0,0.0,160.0
23,0.4482758620689655,0.03768115942028986,0.06951871657754011,345.0
24,0.0,0.0,0.0,164.0
25,1.0,0.006493506493506494,0.012903225806451613,154.0
26,0.0,0.0,0.0,41.0
27,0.625,0.03205128205128205,0.06097560975609755,312.0
28,0.0,0.0,0.0,171.0
29,0.9971458914111244,0.995559973492379,0.9963523013662289,30180.0
30,0.5714285714285714,0.03007518796992481,0.05714285714285714,133.0
31,0.0,0.0,0.0,73.0
32,0.42449664429530204,0.47735849056603774,0.4493783303730018,1590.0
33,0.0,0.0,0.0,152.0
34,0.375,0.04,0.07228915662650602,75.0
35,0.36,0.017142857142857144,0.03272727272727273,525.0
36,0.0,0.0,0.0,491.0
37,0.25,0.020833333333333332,0.038461538461538464,48.0
38,0.9768360447211623,0.993035390199637,0.9848691093586528,44080.0
accuracy,0.8923748051594815,0.8923748051594815,0.8923748051594815,0.8923748051594815
macro avg,0.28534456063558183,0.16274707592949808,0.16238398816850724,95591.0
weighted avg,0.8678198927910028,0.8923748051594815,0.8719540436499347,95591.0
Total_training_time(s),679.4237834342057,,,
Input_size,26,,,
