,precision,recall,f1-score,support
0,0.5172413793103449,0.056179775280898875,0.10135135135135134,267.0
1,1.0,0.016260162601626018,0.032,123.0
2,0.20175438596491227,0.17424242424242425,0.18699186991869918,264.0
3,0.85,0.6415094339622641,0.7311827956989247,53.0
4,0.22752892316819934,0.5590379008746356,0.32342399325321525,1372.0
5,0.7019230769230769,0.5407407407407407,0.6108786610878661,270.0
6,0.0,0.0,0.0,119.0
7,0.0,0.0,0.0,118.0
8,0.0,0.0,0.0,133.0
9,0.17647058823529413,0.009036144578313253,0.017191977077363897,332.0
10,0.058823529411764705,0.016129032258064516,0.02531645569620253,62.0
11,0.23732424371538133,0.33675937122128174,0.27843039240189954,1654.0
12,1.0,0.015151515151515152,0.02985074626865672,66.0
13,0.0,0.0,0.0,109.0
14,0.0,0.0,0.0,132.0
15,0.5,0.04065040650406504,0.07518796992481203,123.0
16,0.5384615384615384,0.033816425120772944,0.06363636363636363,207.0
17,0.13861386138613863,0.05951115834218916,0.08327137546468402,941.0
18,0.6658150229943791,0.9067501739735561,0.7678255745433117,1437.0
19,0.0,0.0,0.0,18.0
20,0.0,0.0,0.0,162.0
21,0.0,0.0,0.0,53.0
22,0.0,0.0,0.0,146.0
23,0.6086956521739131,0.04964539007092199,0.0918032786885246,282.0
24,0.0,0.0,0.0,146.0
25,1.0,0.006493506493506494,0.012903225806451613,154.0
26,0.0,0.0,0.0,39.0
27,0.23684210526315788,0.030821917808219176,0.05454545454545455,292.0
28,0.0,0.0,0.0,130.0
29,0.2857142857142857,0.015037593984962405,0.02857142857142857,133.0
30,0.0,0.0,0.0,119.0
31,0.0,0.0,0.0,71.0
32,0.34654205607476635,0.6082677165354331,0.4415336984996428,1524.0
33,0.0,0.0,0.0,122.0
34,0.5,0.015625,0.030303030303030304,64.0
35,0.3114754098360656,0.04578313253012048,0.07983193277310925,415.0
36,0.8,0.009174311926605505,0.018140589569160998,436.0
37,1.0,0.020833333333333332,0.04081632653061225,48.0
38,0.9805637946417806,0.9963735267452403,0.9884054448225571,40811.0
accuracy,0.8420495967665779,0.8420495967665779,0.8420495967665779,0.8420495967665779
macro avg,0.3303535859814102,0.13343154087899206,0.13111266503675184,52947.0
weighted avg,0.8343974155879238,0.8420495967665779,0.8216699573788251,52947.0
Total_training_time(s),686.6155625917017,,,
Input_size,26,,,
