Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
192.168.10.103-192.168.10.1-50165-53-6,192.168.10.103,50165,192.168.10.1,53,6,2022-07-27 08:27:31.254684,78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25641.02564102564,78.0,0.0,78.0,78.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,12820.51282051282,12820.51282051282,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,78,NeedManualLabel
192.168.10.103-192.168.10.1-50165-53-6,192.168.10.103,50165,192.168.10.1,53,6,2022-07-27 08:27:31.769748,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142857.14285714287,14.0,0.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,71428.57142857143,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,14,NeedManualLabel
192.168.10.103-192.168.10.1-50165-53-6,192.168.10.103,50165,192.168.10.1,53,6,2022-07-27 08:27:32.285418,10,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999997,10.0,0.0,10.0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,20,99999.99999999999,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,10,NeedManualLabel
192.168.10.103-192.168.10.1-50165-53-6,192.168.10.103,50165,192.168.10.1,53,6,2022-07-27 08:27:32.800899,500074,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9991121314045515,250037.0,353578.8464373965,500055.0,19.0,0,0,0,0,0,500055.0,500055.0,0.0,500055.0,500055.0,0,0,0,0,0,2,32,40,1.9997040438015172,3.9994080876030345,0.0,0.0,0.0,0.0,0.0,0,1,2,0,2,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,0,0,32,0,0,0,0,0,0,0,0,-1,-1,500074,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2022-07-27 08:25:52.406331,116413950,257,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.2076392047516644,454741.99218749994,907713.4169750607,6455708.0,0.0,1.1641395E8,454741.99218749994,907713.4169750607,6455708.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2076392047516644,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0114746666666668E7,1.6161931435662149E7,3.9752154E7,1.1455945E7,6330927.666666667,194615.3264322554,6455708.0,6106681.0,-1,-1,0,NeedManualLabel
192.168.10.1-192.168.10.103-0-0-1,192.168.10.1,0,192.168.10.103,0,1,2022-07-27 08:26:03.446857,116630469,89,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.7630939047325618,1325346.2386363633,1116623.080392791,4214427.0,46780.0,1.16630469E8,1325346.2386363633,1116623.080392791,4214427.0,46780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7630939047325618,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,NeedManualLabel
0.0.0.0-255.255.255.255-68-67-17,0.0.0.0,68,255.255.255.255,67,17,2022-07-27 08:26:12.555800,81863118,4,0,1188.0,0.0,298.0,296.0,297.0,1.154700538379246,0,0,0,0,14.512029703046492,0.04886205287221041,2.7287706E7,1.7836419845493462E7,4.7883127E7,1.6893309E7,8.1863118E7,2.7287706E7,1.7836419845493462E7,4.7883127E7,1.6893309E7,0,0,0,0,0,0,0,0,0,0,0,32,0,0.04886205287221041,0.0,296.0,298.0,297.0,1.154700538379246,1.3333333333333206,0,0,0,0,0,0,0,0,0.0,297.0,297.0,0.0,0,0,0,0,0,0,1,297,0,0,0,0,3,8,0,0,0,0,2.7287706E7,1.7836419845493462E7,4.7883127E7,1.6893309E7,-1,-1,0,NeedManualLabel
192.168.10.100-192.168.10.1-68-67-17,192.168.10.100,68,192.168.10.1,67,17,2022-07-27 08:23:48.306669,50436,1,1,312.0,300.0,312.0,312.0,312.0,0.0,300.0,300.0,300.0,0.0,12134.189864382584,39.65421524308034,50436.0,0.0,50436.0,50436.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,19.82710762154017,19.82710762154017,300.0,312.0,306.0,8.48528137423857,72.0,0,0,0,0,0,0,0,0,1.0,306.0,312.0,300.0,0,0,0,0,0,0,0,156,0,150,0,0,0,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
192.168.10.100-224.0.0.22-0-0-0,192.168.10.100,0,224.0.0.22,0,0,2022-07-27 08:23:48.359650,351411,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14.22835369410747,87852.75,145402.0728769596,303500.0,36.0,351411.0,87852.75,145402.0728769596,303500.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22835369410747,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
192.168.10.1-192.168.10.100-0-0-1,192.168.10.1,0,192.168.10.100,0,1,2022-07-27 08:26:57.721999,115109087,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.13031117169750464,8222077.642857143,1.5443944515349876E7,4.5767807E7,1012331.0,1.15109087E8,8222077.642857143,1.5443944515349876E7,4.5767807E7,1012331.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13031117169750464,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6044364.0,2834779.77206837,8048856.0,4039872.0,3.1657519333333332E7,2.2249517846609537E7,4.5767807E7,6008939.0,3,3,0,NeedManualLabel
