,precision,recall,f1-score,support
0,0.2577777777777778,0.17901234567901234,0.21129326047358832,324.0
1,0.35294117647058826,0.0425531914893617,0.0759493670886076,141.0
2,0.23692307692307693,0.2398753894080997,0.23839009287925694,321.0
3,0.8823529411764706,0.5172413793103449,0.6521739130434783,58.0
4,0.703697319658709,0.9261569872958257,0.7997453352269945,8816.0
5,0.5992366412213741,0.5181518151815182,0.5557522123893804,303.0
6,0.0,0.0,0.0,125.0
7,0.0,0.0,0.0,158.0
8,0.0,0.0,0.0,165.0
9,0.0,0.0,0.0,421.0
10,0.25,0.0410958904109589,0.07058823529411765,73.0
11,0.21120689655172414,0.3767298821117376,0.2706683851960965,1951.0
12,0.3333333333333333,0.012658227848101266,0.024390243902439022,79.0
13,0.0,0.0,0.0,114.0
14,0.25,0.005917159763313609,0.011560693641618498,169.0
15,0.25,0.026490066225165563,0.04790419161676646,151.0
16,0.5,0.0035842293906810036,0.0071174377224199285,279.0
17,0.17060367454068243,0.05613126079447323,0.08447043534762834,1158.0
18,0.7407589945786102,0.8340732519422863,0.7846515270164448,1802.0
19,0.0,0.0,0.0,27.0
20,0.0,0.0,0.0,196.0
21,0.09090909090909091,0.015151515151515152,0.025974025974025976,66.0
22,0.0,0.0,0.0,160.0
23,0.24742268041237114,0.06956521739130435,0.1085972850678733,345.0
24,0.0,0.0,0.0,164.0
25,0.5714285714285714,0.025974025974025976,0.04968944099378882,154.0
26,0.0,0.0,0.0,41.0
27,0.7142857142857143,0.016025641025641024,0.03134796238244514,312.0
28,0.0,0.0,0.0,171.0
29,0.996385821811068,0.9956925115970842,0.9960390460564477,30180.0
30,0.6,0.022556390977443608,0.04347826086956521,133.0
31,0.3333333333333333,0.0136986301369863,0.02631578947368421,73.0
32,0.41578947368421054,0.44716981132075473,0.43090909090909096,1590.0
33,0.0,0.0,0.0,152.0
34,0.09433962264150944,0.06666666666666667,0.078125,75.0
35,0.379746835443038,0.05714285714285714,0.09933774834437085,525.0
36,0.25396825396825395,0.09775967413441955,0.1411764705882353,491.0
37,0.2857142857142857,0.041666666666666664,0.07272727272727272,48.0
38,0.9790514010351598,0.995576225045372,0.9872446684063709,44080.0
accuracy,0.8952202613216725,0.8952202613216725,0.8952202613216725,0.8952202613216725
macro avg,0.3000309465871527,0.17036710025850302,0.17757993314441042,95591.0
weighted avg,0.8744992121759954,0.8952202613216725,0.8780014487365987,95591.0
Total_training_time(s),681.6897336923867,,,
Input_size,32,,,
